img_no 	 min_val 	max_val 	 ang_x 	 ang_y 	 ang_z 
296 	 -0.000272 	 1.279005 	 -0.032946 	 -0.119062 	 -3.027111 
297 	 -0.000202 	 1.349718 	 -0.642392 	 -0.917361 	 -0.502875 
298 	 -0.000254 	 1.427707 	 1.385883 	 -0.201301 	 1.899422 
299 	 -0.000633 	 1.314694 	 0.369595 	 0.413458 	 -0.923425 
300 	 -0.000460 	 1.328088 	 -0.468949 	 0.279844 	 0.025188 
301 	 -0.000818 	 1.261439 	 2.635041 	 0.021044 	 2.966213 
302 	 -0.000380 	 1.233770 	 2.128536 	 0.609685 	 -0.678499 
303 	 -0.000479 	 1.187757 	 3.141546 	 -1.168316 	 1.499326 
304 	 -0.000386 	 1.288464 	 0.533622 	 -0.241649 	 -2.235472 
305 	 -0.000365 	 1.263400 	 0.277751 	 0.176206 	 1.334602 
306 	 -0.000380 	 1.178734 	 2.524658 	 -0.256287 	 -1.334645 
307 	 -0.000516 	 1.324009 	 -0.059997 	 -1.078504 	 1.608134 
308 	 -0.000434 	 1.220086 	 -2.785309 	 0.058573 	 -0.580867 
309 	 -0.000218 	 1.360421 	 -2.229222 	 -0.012280 	 -1.570179 
310 	 -0.000161 	 1.340322 	 2.165896 	 0.815240 	 2.832148 
311 	 -0.000829 	 1.309777 	 -1.002680 	 0.064754 	 1.573779 
312 	 -0.000881 	 1.409481 	 -2.692504 	 0.437184 	 2.448099 
313 	 -0.000244 	 1.268863 	 -2.773441 	 -0.055962 	 2.232300 
314 	 -0.000620 	 1.383073 	 0.594003 	 -0.023908 	 -0.088056 
315 	 -0.000678 	 1.432531 	 -0.085682 	 0.114614 	 0.209012 
316 	 -0.000382 	 1.238968 	 1.499107 	 0.336692 	 2.754800 
317 	 -0.000522 	 1.160571 	 2.769042 	 0.663382 	 1.728899 
318 	 -0.000429 	 1.252199 	 -2.074837 	 -0.619975 	 -1.455984 
319 	 -0.000182 	 1.328767 	 -2.973426 	 0.824988 	 -2.581025 
320 	 -0.000314 	 1.452069 	 1.428873 	 -0.005703 	 -1.204435 
321 	 -0.001179 	 1.317872 	 -1.512819 	 0.262694 	 -1.404859 
322 	 -0.000177 	 1.426945 	 -0.834691 	 -0.499315 	 -2.173400 
323 	 -0.000260 	 1.270562 	 2.206310 	 -0.316352 	 1.944466 
324 	 -0.000184 	 1.132773 	 -2.002511 	 0.709955 	 -3.123067 
325 	 -0.000360 	 1.348779 	 -3.126308 	 -0.261079 	 -1.991149 
326 	 -0.000544 	 1.156500 	 -2.955850 	 -0.639643 	 0.667735 
327 	 -0.000865 	 1.253677 	 2.052738 	 -1.119939 	 -1.888162 
328 	 -0.000268 	 1.130733 	 1.891974 	 -0.596152 	 2.646981 
329 	 -0.000434 	 1.236895 	 -0.357239 	 -0.969039 	 0.242020 
330 	 -0.000247 	 1.399341 	 1.745568 	 -0.251283 	 0.806236 
331 	 -0.000684 	 1.105749 	 0.663276 	 -0.554462 	 -0.003444 
332 	 -0.000303 	 1.263227 	 -1.814053 	 0.214020 	 -1.184684 
333 	 -0.000402 	 1.126506 	 -2.856521 	 -0.939101 	 -1.329199 
334 	 -0.000374 	 1.418194 	 1.294293 	 -0.115152 	 1.302200 
335 	 -0.000429 	 1.307317 	 -0.409383 	 0.447196 	 3.030118 
336 	 -0.000489 	 1.262477 	 -2.510634 	 0.929445 	 2.461405 
337 	 -0.000355 	 1.145425 	 -0.769934 	 0.017103 	 0.308919 
338 	 -0.000628 	 1.337112 	 2.291732 	 1.482042 	 -2.922191 
